RESPONDEU AO MÓDULO DE MANEJO DE RESÍDUOS SÓLIDOS 2024,CÓDIGO DO IBGE,MUNICÍPIO,UF,MACRORREGIÃO,CAPITAL,CNPJ, SECRETARIA OU SETOR RESPONSÁVEL,NATUREZA JURIDICA,POPULAÇÃO TOTAL,POPULAÇÃO URBANA,POPULAÇÃO RURAL,Quantidade de domicílios totais existente no município,Quantidade de domicílios urbanos existente no município,Quantidade de domicílios rurais existente no município,Área (Km²),Executor do serviço de varrição de sarjetas e logradouros públicos,Extensão de sarjetas varridas,"Área de varrição de superfície de logradouros públicos, incluindo limpeza de detritos por espeto/garfo",Há algum tipo de varrição mecanizada no município?,Outros serviços de limpeza urbana executados no município,Houve contratação de trabalhadores temporários para reforço na execução de algum dos serviços de limpeza urbana e/ou manejo de resíduos sólidos?,Trabalhadores temporários contratados
Sim,4300034,Aceguá,RS,Sul,,04.217.437/0001-32,SECRETARIA DE OBRAS E SERVIÇOS PÚBLICOS,Município,4253,1561,2692,2156,783,1373,1551.34,Agente público,5,,Não,"4-Poda de árvores 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
",Não,
Sim,4300059,Água Santa,RS,Sul,,92.406.495/0001-71,SECRETARIA DE SERVIÇOS URBANOS,Município,4000,1741,2259,1627,751,876,291.5,Agente público,85,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
3-Capina e roçada química 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
11-Pintura de meios-fios e guias 
",Não,
Sim,4300109,Agudo,RS,Sul,,87.531.976/0001-79,SECRETARIA DE DESENVOLVIMENTO RURAL E GESTÃO AMBIENTAL,Município,16346,8348,7998,7498,4047,3451,534.62,Agente público e agente privado,1200,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
8-Serviços eventuais (shows e eventos típicos públicos) 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
19-Limpeza de bota-foras conforme a demanda 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Sim,1
Não,4300208,Ajuricaba,RS,Sul,,,,,6848,4394,2454,3061,1987,1074,322.67,,,,,,,
Sim,4300307,Alecrim,RS,Sul,,87.612.784/0001-97,SECRETARIA DE DESENVOLVIMENTO RURAL E MEIO AMBIENTE,Município,6228,2565,3663,3332,1407,1925,316.39,Agente privado,10,,Não,"1-Capina e roçada manual 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,
Sim,4300406,Alegrete,RS,Sul,,87.896.874/0001-57,SECRETARIA DE MEIO AMBIENTE,Município,74329,67342,6987,35518,31928,3590,7800.43,Agente público,1340,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
11-Pintura de meios-fios e guias 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
",Sim,2
Sim,4300455,Alegria,RS,Sul,,92.465.228/0001-75,SECRETARIA MUNICIPAL DA AGRICULTURA,Município,3711,1729,1982,1890,917,973,172.79,Agente público,10,10000,Não,"1-Capina e roçada manual 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,
Sim,4300471,Almirante Tamandaré do Sul,RS,Sul,,04.215.782/0001-37,SECRETARIA MUNICIPAL DE AGRICULTURA INDUSTRIA COMERCIO E MEIO AMBIENTE,Município,2008,1037,971,992,545,447,265.04,Agente público,48,,Não,"1-Capina e roçada manual 
3-Capina e roçada química 
4-Poda de árvores 
8-Serviços eventuais (shows e eventos típicos públicos) 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,
Sim,4300505,Alpestre,RS,Sul,,87.612.933/0001-18,PREFEITURA MUNICIPAL DE DE ALPESTRE,Município,7243,2621,4622,3502,1331,2171,325.98,Agente público,5,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
3-Capina e roçada química 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
19-Limpeza de bota-foras conforme a demanda 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,
Sim,4300554,Alto Alegre,RS,Sul,,92.406.057/0001-03,SECRETARIA DO MEIO AMBIENTE,Município,1837,895,942,825,414,411,115.34,Agente público,1200,,Não,"5-Lavação de vias e praças públicas 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Não,
