RESPONDEU AO MÓDULO DE MANEJO DE RESÍDUOS SÓLIDOS 2023 - Sim/Não,CÓDIGO DO IBGE - Cod_IBGE,MUNICÍPIO - Nom_Mun,Ano de Referência,UF,MACRORREGIÃO - Nom_Região,CAPITAL - Capital,CNPJ - CAD1000,SECRETARIA OU SETOR RESPONSÁVEL - CAD1001,NATUREZA JURÍDICA - CAD1002,POPULAÇÃO TOTAL - DFE0001,POPULAÇÃO URBANA - DFE0002,POPULAÇÃO RURAL - DFE0003,Quantidade de domicílios totais existente no município - OGM4006,Quantidade de domicílios urbanos existente no município - OGM4004,Quantidade de domicílios rurais existente no município - OGM4005,Área (Km²) - OGM0005,IRS0001 - Cobertura da população total com coleta de resíduos sólidos domiciliares - Percentual,IRS0002 - Cobertura da população urbana com coleta de resíduos sólidos domiciliares - Percentual,IRS0003 - Cobertura da população rural com coleta de resíduos sólidos domiciliares - Percentual,IRS0004 - Cobertura da população urbana com coleta direta de resíduos sólidos domiciliares - Percentual,IRS0005 - Cobertura da população total com coleta seletiva de resíduos sólidos domiciliares - Percentual,IRS0006 - Cobertura da população urbana com coleta seletiva direta de resíduos sólidos domiciliares - Percentual,RESPONDEU AO MÓDULO DE MANEJO DE RESÍDUOS SÓLIDOS 2024 - Sim/Não
Sim,4300034,Aceguá,2020,RS,Sul,,04.217.437/0001-32,Secretaria de Obras e Serviços Públicos,Município,4211,1015,3196,2144,515,1629,1551.34,94.99,98.52,93.87,49.26,0.0,0.0,
Sim,4300034,Aceguá,2021,RS,Sul,,04.217.437/0001-32,Secretaria de Obras e Serviços Públicos,Município,4211,1015,3196,2144,515,1629,1551.34,94.99,98.52,93.87,49.26,0.0,0.0,
Sim,4300034,Aceguá,2022,RS,Sul,,04.217.437/0001-32,Secretaria de Obras e Serviços Públicos,Município,4211,1015,3196,2144,515,1629,1551.34,94.99,98.52,93.87,49.26,0.0,0.0,
Sim,4300034,Aceguá,2023,RS,Sul,,04.217.437/0001-32,Secretaria de Obras e Serviços Públicos,Município,4211,1015,3196,2144,515,1629,1551.34,94.99,98.52,93.87,49.26,0.0,0.0,
,4300034,Aceguá,2024,RS,Sul,,04.217.437/0001-32,SECRETARIA DE OBRAS E SERVIÇOS PÚBLICOS,Município,4253,1561,2692,2156,783,1373,1551.34,86.81,64.06,100.0,32.03,0.0,0.0,Sim
Sim,4300109,Agudo,2020,RS,Sul,,87.531.976/0001-79,SECRETARIA DE DESENVOLVIMENTO RURAL E GESTÃO AMBIENTAL,Município,16201,6674,9527,7442,3116,4326,534.62,49.38,97.39,15.74,97.39,0.0,0.0,
Sim,4300109,Agudo,2021,RS,Sul,,87.531.976/0001-79,SECRETARIA DE DESENVOLVIMENTO RURAL E GESTÃO AMBIENTAL,Município,16201,6674,9527,7442,3116,4326,534.62,49.38,97.39,15.74,97.39,0.0,0.0,
Sim,4300109,Agudo,2022,RS,Sul,,87.531.976/0001-79,SECRETARIA DE DESENVOLVIMENTO RURAL E GESTÃO AMBIENTAL,Município,16201,6674,9527,7442,3116,4326,534.62,49.38,97.39,15.74,97.39,0.0,0.0,
Sim,4300109,Agudo,2023,RS,Sul,,87.531.976/0001-79,SECRETARIA DE DESENVOLVIMENTO RURAL E GESTÃO AMBIENTAL,Município,16201,6674,9527,7442,3116,4326,534.62,49.38,97.39,15.74,97.39,0.0,0.0,
,4300109,Agudo,2024,RS,Sul,,87.531.976/0001-79,SECRETARIA DE DESENVOLVIMENTO RURAL E GESTÃO AMBIENTAL,Município,16346,8348,7998,7498,4047,3451,534.62,61.18,100.0,20.66,100.0,0.0,0.0,Sim
