RESPONDEU_MODULO,CÓDIGO DO IBGE,MUNICÍPIO,UF,MACRORREGIÃO,CAPITAL,CNPJ, SECRETARIA OU SETOR RESPONSÁVEL,NATUREZA JURIDICA,POPULAÇÃO TOTAL,POPULAÇÃO URBANA,POPULAÇÃO RURAL,Quantidade de domicílios totais existente no município,Quantidade de domicílios urbanos existente no município,Quantidade de domicílios rurais existente no município,Área (Km²),Executor do serviço de varrição de sarjetas e logradouros públicos,Extensão de sarjetas varridas,"Área de varrição de superfície de logradouros públicos, incluindo limpeza de detritos por espeto/garfo",Há algum tipo de varrição mecanizada no município?,Outros serviços de limpeza urbana executados no município,Houve contratação de trabalhadores temporários para reforço na execução de algum dos serviços de limpeza urbana e/ou manejo de resíduos sólidos?,Trabalhadores temporários contratados,year
Sim,4300034,Aceguá,RS,Sul,,04.217.437/0001-32,Secretaria de Obras e Serviços Públicos,Município,4211,1015,3196,2144,515,1629,1551.34,Agente público,5.0,,Não,"4-Poda de árvores 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
",Não,,2023
Sim,4300059,Água Santa,RS,Sul,,92.406.495/0001-71,SECRETARIA DE SERVIÇOS URBANOS,Município,3951,1536,2415,1612,660,952,291.5,Agente público,100.0,,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
3-Capina e roçada química 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
8-Serviços eventuais (shows e eventos típicos públicos) 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
19-Limpeza de bota-foras conforme a demanda 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Sim,4300109,Agudo,RS,Sul,,87.531.976/0001-79,SECRETARIA DE DESENVOLVIMENTO RURAL E GESTÃO AMBIENTAL,Município,16201,6674,9527,7442,3116,4326,534.62,Agente público,1200.0,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
6-Limpeza de feiras livres ou mercados públicos 
8-Serviços eventuais (shows e eventos típicos públicos) 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
16-Limpeza de córregos, rios e suas margens 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Não,4300208,Ajuricaba,RS,Sul,,,,,6787,3843,2944,3018,1694,1324,322.67,,,,,,,,2023
Sim,4300307,Alecrim,RS,Sul,,87.612.784/0001-97,SECRETARIA DE DESENVOLVIMENTO RURAL E MEIO AMBIENTE,Município,6183,1900,4283,3324,967,2357,316.39,Agente público e agente privado,10.0,,Não,"1-Capina e roçada manual 
11-Pintura de meios-fios e guias 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
",Sim,4.0,2023
Sim,4300406,Alegrete,RS,Sul,,87.896.874/0001-57,SECRETARIA DE MEIO AMBIENTE,Município,73128,65539,7589,34966,29873,5093,7800.43,Agente público,1340.0,,Sim,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
11-Pintura de meios-fios e guias 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
",Não,,2023
Sim,4300455,Alegria,RS,Sul,,92.465.228/0001-75,SECRETARIA MUNICIPAL DA AGRICULTURA,Município,3687,1359,2328,1883,684,1199,172.79,Agente público,14.0,,Sim,"1-Capina e roçada manual 
3-Capina e roçada química 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
12-Limpeza de lotes vagos 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Sim,4300471,Almirante Tamandaré do Sul,RS,Sul,,04.215.782/0001-37,SECRETARIA MUNICIPAL DE AGRICULTURA INDUSTRIA COMERCIO E MEIO AMBIENTE,Município,1988,807,1181,987,399,588,265.04,O serviço não é executado,,,,"1-Capina e roçada manual 
3-Capina e roçada química 
4-Poda de árvores 
8-Serviços eventuais (shows e eventos típicos públicos) 
9-Serviço temporário de limpeza em época de temporada 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
Sim,4300505,Alpestre,RS,Sul,,87.612.933/0001-18,MUNICÍPIO DE ALPESTRE,Município,7188,1980,5208,3485,986,2499,325.98,Agente público,5.0,,Sim,"2-Capina e roçada mecanizada 
3-Capina e roçada química 
4-Poda de árvores 
11-Pintura de meios-fios e guias 
",Não,,2023
Sim,4300554,Alto Alegre,RS,Sul,,92.406.057/0001-03,SECRETARIA DO MEIO AMBIENTE,Município,1818,731,1087,818,347,471,115.34,Agente público,1200.0,,Não,"1-Capina e roçada manual 
2-Capina e roçada mecanizada 
4-Poda de árvores 
5-Lavação de vias e praças públicas 
11-Pintura de meios-fios e guias 
13-Remoção de animais mortos de vias públicas 
14-Lavagem de túneis, escadarias, monumentos, abrigos ou sanitários públicos 
15-Limpeza de bocas de lobo ou leão, galerias ou valas de drenagem 
17-Raspagem e remoção de detritos depositados pelas chuvas em vias públicas 
20-Remoção de entulhos e detritos ocasionados por eventos chuvosos intensos, inundações ou outros desastres ambientais 
21-Limpeza pública nas areas rurais do municipio 
",Não,,2023
